QID374,INTRO Fall 2014,INTRO Fall 2015,INTRO Fall 2016,INTRO Fall 2017,INTRO Spring 2017,INTRO Summer 2017,INTRO Summer 2018
United States of America,1070,653,310,149,185,267,256
Canada,41,22,9,2,7,9,5
India,28,20,8,5,3,3,6
United Kingdom,21,20,3,1,3,0,3
Australia,18,7,9,0,2,1,2
China,18,5,0,2,4,5,4
Germany,16,3,1,1,0,3,1
Brazil,15,26,8,0,7,6,6
Botswana,13,1,0,0,0,0,0
Mexico,10,3,2,0,2,2,3
Spain,10,10,4,2,3,1,3
Afghanistan,9,5,0,0,0,0,0
Italy,8,2,0,0,0,2,3
South Africa,7,0,3,2,3,0,3
Pakistan,7,5,3,0,2,0,0
Russian Federation,6,1,0,0,0,0,0
Thailand,6,5,2,1,0,0,1
Colombia,6,10,5,0,0,1,2
Portugal,6,0,0,0,0,0,1
Denmark,5,4,0,0,0,0,0
Netherlands,4,2,0,0,1,0,2
Philippines,4,2,2,0,2,0,0
France,4,0,0,0,0,0,2
Egypt,4,2,3,1,4,1,2
Iran,3,0,0,0,0,0,0
Finland,3,1,0,0,0,0,0
Ecuador,3,0,0,1,1,0,0
Sri Lanka,3,0,1,0,0,1,0
Ireland,3,3,0,0,0,1,0
Jamaica,3,6,0,0,0,0,0
New Zealand,3,1,2,1,0,0,0
Saudi Arabia,3,2,1,0,2,1,1
Argentina,3,4,1,0,0,0,1
Greece,3,2,0,0,1,0,1
Japan,2,4,0,0,0,0,0
Indonesia,2,1,4,0,0,0,1
Poland,2,1,0,0,1,0,1
Switzerland,2,1,2,0,0,0,0
Qatar,2,0,0,1,0,1,0
Belgium,2,1,0,0,1,0,0
Czech Republic,2,1,1,0,0,1,0
Chile,2,5,2,0,0,0,0
Ukraine,2,0,0,0,1,0,0
United Arab Emirates,2,0,1,0,1,0,1
Venezuela,2,0,1,0,1,0,0
Honduras,1,3,0,0,0,2,3
Moldova,1,0,0,0,0,0,0
Singapore,1,0,1,0,0,0,1
Serbia,1,0,0,1,0,0,0
Nepal,1,0,0,0,0,0,1
Belize,1,0,1,0,0,0,0
Norway,1,0,0,0,0,0,0
Nigeria,1,0,2,0,1,1,4
Mauritius,1,0,0,0,0,0,0
Vietnam,1,2,0,1,1,0,1
Bangladesh,1,1,0,0,0,0,1
Peru,1,1,3,0,0,0,0
Azerbaijan,1,0,0,0,0,0,1
Austria,1,0,0,0,0,1,0
Bolivia,1,0,0,1,1,0,0
Malaysia,1,2,2,0,2,1,1
Jordan,1,0,0,0,1,2,1
Suriname,1,0,0,0,0,0,0
Ghana,1,0,1,0,1,0,1
Trinidad & Tobago,1,2,0,0,0,0,0
Turkey,1,0,0,2,2,0,2
Sweden,1,2,0,0,1,0,1
Croatia,1,0,0,0,0,0,1
Romania,1,0,0,0,0,0,0
Taiwan,1,0,1,0,0,0,2
Kenya,1,0,1,0,0,0,1
Kuwait,1,0,1,0,0,0,0
Uruguay,1,0,1,0,0,0,0
Latvia,1,3,0,0,0,0,0
Bulgaria,1,0,0,0,0,0,0
Sudan,0,0,0,0,0,0,1
Uganda,0,0,2,0,0,0,2
Russia,0,0,0,0,1,0,1
Yemen,0,1,0,0,0,0,0
Slovenia,0,1,0,0,0,0,0
"Korea, South",0,0,2,1,2,0,0
Panama,0,0,0,0,1,0,0
Guatemala,0,1,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,1,0
Barbados,0,1,0,0,0,0,0
Benin,0,1,0,0,0,0,0
Burkina,0,1,0,0,0,0,0
Cameroon,0,1,0,0,0,0,0
Costa Rica,0,0,0,0,1,1,0
Cuba,0,0,0,0,0,0,1
Curacao,0,0,1,0,0,0,0
Cyprus,0,0,1,0,0,0,1
Ethiopia,0,1,0,0,0,0,0
Fiji,0,0,0,0,0,1,0
Hong Kong,0,0,2,1,1,0,2
Oman,0,1,0,0,0,0,1
Hungary,0,1,1,0,1,1,0
Iraq,0,0,1,0,0,0,0
Kazakhstan,0,0,0,1,0,0,0
Korea South,0,1,0,0,0,0,0
Angola,0,0,0,0,1,0,0
Kyrgyzstan,0,0,1,0,0,0,0
Liberia,0,0,1,0,0,0,0
Marshall Islands,0,0,1,0,0,0,0
Morocco,0,0,1,0,0,0,0
Myanmar,0,1,0,0,0,0,0
Nicaragua,0,0,0,0,0,2,0
Zambia,0,0,1,0,0,0,0
